Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2026.07.28 09:00:42;Balance;;;;;;;;;-0.61
2026.07.27 10:01:33;Buy;0.01;XAUUSD;4100.59;0.01;2026.07.27 16:58:30;4070.56;-0.08;;-30.03
2026.07.16 08:02:03;Sell;0.01;XAUUSD;4031.83;0.01;2026.07.16 16:27:01;4002.29;-0.08;;29.54
2026.07.15 13:54:28;Balance;;;;;;;;;10.58
2026.07.13 06:11:33;Sell;0.01;XAUUSD;4055.68;0.01;2026.07.13 21:53:52;4003.47;-0.08;;52.21
2026.07.13 21:48:54;Balance;;;;;;;;;131.99
2026.07.06 04:01:11;Buy;0.01;XAUUSD;4181.22;0.01;2026.07.10 12:00:00;4097.83;-0.08;-3.29;-83.39
2026.07.01 16:24:06;Buy;0.01;XAUUSD;4043.63;0.01;2026.07.01 21:29:50;4061.2;-0.08;;17.57
2026.06.30 03:55:52;Sell;0.01;XAUUSD;3987.96;0.01;2026.07.01 12:49:07;3984.58;-0.08;0.37;3.38
2026.06.24 20:30:19;Sell;0.01;XAUUSD;3987.85;0.01;2026.07.01 12:49:07;3984.58;-0.08;2.64;3.27
2026.06.25 04:08:14;Sell;0.01;XAUUSD;3987.9;0.01;2026.06.29 04:00:00;4069.63;-0.08;0.76;-81.73
2026.06.24 04:04:20;Sell;0.01;XAUUSD;4071.35;0.01;2026.06.24 16:38:10;3998.15;-0.08;;73.2
2026.06.24 01:25:15;Sell;0.01;XAUUSD;4105.35;0.01;2026.06.24 08:29:00;4074.5;-0.08;;30.85
2026.06.23 07:58:10;Sell;0.01;XAUUSD;4125.68;0.01;2026.06.23 12:21:02;4115.68;-0.08;;10
2026.06.16 13:59:03;Buy;0.01;XAUUSD;4349.48;0.01;2026.06.17 21:00:12;4349.92;-0.08;-0.52;0.44
2026.06.10 20:00:00;Sell;0.01;XAUUSD;4122.05;0.01;2026.06.11 04:00:10;4086.12;-0.08;1.26;35.93
2026.06.10 20:00:00;Sell;0.01;XAUUSD;4122.05;0.01;2026.06.11 04:00:10;4086.12;-0.08;1.26;35.93
2026.06.10 08:00:00;Sell;0.01;XAUUSD;4174.67;0.01;2026.06.10 16:08:11;4157.42;-0.08;;17.25
2026.06.10 08:00:00;Sell;0.01;XAUUSD;4174.67;0.01;2026.06.10 16:08:11;4157.35;-0.08;;17.32
2026.06.09 17:44:32;Sell;0.01;XAUUSD;4288.68;0.01;2026.06.09 20:04:40;4262.4;-0.08;;26.28
2026.06.08 14:43:20;Balance;;;;;;;;;16.43
2026.06.05 20:00:23;Sell;0.01;XAUUSD;4344.49;0.01;2026.06.08 12:47:54;4299.74;-0.08;0.46;44.75
2026.06.05 16:59:42;Sell;0.01;XAUUSD;4372.99;0.01;2026.06.08 12:47:54;4299.73;-0.08;0.46;73.26
2026.06.05 09:15:00;Sell;0.01;XAUUSD;4433.38;0.01;2026.06.05 16:01:59;4416.75;-0.08;;16.63
2026.05.25 13:02:34;Buy;0.01;XAUUSD;4569.64;0.01;2026.05.29 20:00:00;4567.2;-0.08;-3.21;-2.44
2026.05.28 04:13:15;Sell;0.01;XAUUSD;4438.95;0.01;2026.05.28 08:30:56;4383.3;-0.08;;55.65
2026.05.27 13:46:04;Sell;0.01;XAUUSD;4460.77;0.01;2026.05.27 17:12:20;4448.81;-0.08;;11.96
2026.05.27 13:46:04;Sell;0.01;XAUUSD;4460.92;0.01;2026.05.27 17:12:19;4448.56;-0.08;;12.36
2026.05.23 11:46:53;Balance;;;;;;;;;-40
2026.05.18 03:33:19;Sell;0.01;XAUUSD;4510.19;0.01;2026.05.20 12:55:02;4490.65;-0.08;0.95;19.54
2026.05.18 03:33:19;Sell;0.01;XAUUSD;4510.07;0.01;2026.05.20 08:06:19;4472.55;-0.08;0.95;37.52
2026.05.19 16:07:45;Sell;0.01;XAUUSD;4515.22;0.01;2026.05.20 08:06:18;4472.29;-0.08;0.47;42.93
2026.05.15 20:00:11;Sell;0.01;XAUUSD;4544.34;0.01;2026.05.18 04:48:17;4525.52;-0.08;0.47;18.82
2026.05.15 08:00:00;Sell;0.01;XAUUSD;4605.8;0.01;2026.05.15 13:51:32;4564.79;-0.08;;41.01
2026.05.11 20:44:32;Buy;0.01;XAUUSD;4724.5;0.01;2026.05.12 04:26:03;4739.18;-0.08;-0.55;14.68
2026.05.07 04:10:14;Buy;0.01;XAUUSD;4700.46;0.01;2026.05.07 16:01:31;4739.82;-0.08;;39.36
2026.05.06 05:54:28;Buy;0.01;XAUUSD;4638.93;0.01;2026.05.06 12:05:05;4690.65;-0.08;;51.72
2026.05.04 13:12:31;Sell;0.01;XAUUSD;4540.19;0.01;2026.05.04 20:03:18;4520.78;-0.08;;19.41
2026.04.29 20:01:00;Sell;0.01;XAUUSD;4545.05;0.01;2026.05.01 20:00:00;4638.8;-0.08;1.92;-93.75
2026.04.29 04:01:07;Sell;0.01;XAUUSD;4592.31;0.01;2026.04.29 18:40:06;4556.42;-0.08;;35.89
2026.04.27 03:07:23;Sell;0.01;XAUUSD;4674.08;0.01;2026.04.29 03:01:07;4606.46;-0.08;0.95;67.62
2026.04.23 03:10:58;Sell;0.01;XAUUSD;4711.44;0.01;2026.04.24 08:34:28;4684.9;-0.08;0.49;26.54
2026.04.23 01:52:40;Sell;0.1;BTCUSD;78581.65;0.1;2026.04.23 18:22:17;78531.17;;;5.05
2026.04.21 17:46:39;Sell;0.01;XAUUSD;4738.08;0.01;2026.04.21 20:43:53;4720.99;-0.08;;17.09
2026.04.20 10:20:54;Balance;;;;;;;;;-66
2026.04.17 15:48:16;Buy;0.01;XAUUSD;4842.62;0.01;2026.04.17 20:24:29;4857.26;-0.08;;14.64
2026.04.08 08:30:27;Buy;0.01;XAUUSD;4818.14;0.01;2026.04.14 16:00:00;4771.18;-0.08;-3.6;-46.96
2026.04.08 01:46:45;Balance;;;;;;;;;500
2026.04.08 01:43:02;Balance;;;;;;;;;-500
2026.04.07 19:05:52;Balance;;;;;;;;;-100
2026.04.07 18:10:18;Balance;;;;;;;;;-50
2026.04.02 02:08:32;Buy;0.01;XAUUSD;4787.34;0.01;2026.04.07 04:00:03;4640.55;-0.08;-1.77;-146.79
2026.04.01 20:56:07;Balance;;;;;;;;;-60
2026.04.01 16:08:41;Buy;0.01;XAUUSD;4729.38;0.01;2026.04.01 20:35:52;4777.08;-0.08;;47.7
2026.04.01 09:27:35;Buy;0.01;XAUUSD;4711.49;0.01;2026.04.01 12:12:12;4718.64;-0.08;;7.15
2026.03.27 18:23:55;Buy;0.01;XAUUSD;4555.49;0.01;2026.03.30 16:22:54;4559.22;-0.08;-0.55;3.73
2026.03.26 21:04:06;Sell;0.01;XAUUSD;4383.62;0.01;2026.03.26 21:04:45;4382.11;-0.08;;1.51
2026.03.23 06:58:46;Balance;;;;;;;;;-50
2026.03.19 20:10:40;Sell;0.01;XAUUSD;4574.12;0.01;2026.03.23 03:36:42;4343.44;-0.08;1;230.68
2026.03.19 09:23:50;Sell;0.01;XAUUSD;4817.83;0.01;2026.03.19 12:01:35;4719.68;-0.08;;98.15
2026.03.18 12:00:09;Sell;0.01;XAUUSD;4986.95;0.01;2026.03.18 20:24:39;4897.19;-0.08;;89.76
2026.03.16 17:48:05;Sell;0.01;XAUUSD;4988.05;0.01;2026.03.18 08:00:00;4987.13;-0.08;1.09;0.92
2026.03.16 04:00:33;Sell;0.01;XAUUSD;5017.48;0.01;2026.03.16 14:10:21;5001.46;-0.08;;16.02
2026.03.16 01:52:44;Buy;0.01;BTCUSD;72955.28;0.01;2026.03.16 07:55:02;74467.7;;;15.12
2026.03.09 05:04:00;Sell;0.01;XAUUSD;5055.86;0.01;2026.03.09 08:00:01;5090.12;-0.08;;-34.26
2026.03.06 19:32:54;Buy;0.01;XAUUSD;5148.68;0.01;2026.03.06 20:00:00;5140.68;-0.08;;-8
2026.03.05 18:01:28;Sell;0.01;XAUUSD;5099.06;0.01;2026.03.06 06:00:01;5131.26;-0.08;0.54;-32.2
2026.03.03 16:31:43;Sell;0.01;XAUUSD;5120.7;0.01;2026.03.03 18:07:05;5117.69;-0.08;;3.01
2026.03.02 20:03:07;Sell;0.01;XAUUSD;5298.91;0.01;2026.03.02 22:00:01;5330.56;-0.08;;-31.65
2026.03.02 15:33:11;Balance;;;;;;;;;-10
2026.03.02 05:38:08;Buy;0.01;XAUUSD;5362.4;0.01;2026.03.02 13:45:59;5375.9;-0.08;;13.5
2026.03.01 21:56:51;Balance;;;;;;;;;200
2026.03.01 21:47:05;Balance;;;;;;;;;-270
2026.02.27 19:12:28;Buy;0.01;XAUUSD;5235.78;0.01;2026.02.27 21:00:00;5245.25;-0.08;;9.47
2026.02.27 05:26:33;Buy;0.01;XAUUSD;5188.12;0.01;2026.02.27 07:00:01;5181.62;-0.08;;-6.5
2026.02.25 21:51:42;Buy;0.01;XAUUSD;5208.6;0.01;2026.02.26 16:00:07;5165.1;-0.08;-1.99;-43.5
2026.02.25 15:06:10;Buy;0.01;XAUUSD;5188.76;0.01;2026.02.25 16:00:02;5185.24;-0.08;;-3.52
2026.02.25 07:06:37;Buy;0.01;XAUUSD;5191.78;0.01;2026.02.25 10:00:00;5185.55;-0.08;;-6.23
2026.02.24 19:00:07;Buy;0.01;XAUUSD;5143.55;0.01;2026.02.25 04:00:02;5178.16;-0.08;-0.67;34.61
2026.02.23 20:01:05;Buy;0.01;XAUUSD;5210.14;0.01;2026.02.24 15:00:00;5151.8;-0.08;-0.66;-58.34
2026.02.20 18:13:19;Buy;0.01;XAUUSD;5055.27;0.01;2026.02.23 01:57:55;5169.36;-0.08;-0.66;114.09
2026.02.20 08:25:32;Buy;0.01;XAUUSD;5028.8;0.01;2026.02.20 13:00:04;5034.08;-0.08;;5.28
2026.02.17 07:15:37;Sell;0.01;XAUUSD;4915.17;0.01;2026.02.17 15:00:01;4931.45;-0.08;;-16.28
2026.02.13 18:17:48;Buy;0.01;XAUUSD;5005.34;0.01;2026.02.13 21:00:00;5031.34;-0.08;;26
2026.02.12 21:00:18;Sell;0.01;XAUUSD;4935.1;0.01;2026.02.13 06:00:00;4981.48;-0.08;0.53;-46.38
2026.02.11 19:06:40;Buy;0.01;XAUUSD;5078.45;0.01;2026.02.11 21:00:00;5082.57;-0.08;;4.12
2026.02.11 05:31:57;Buy;0.01;XAUUSD;5059.66;0.01;2026.02.11 14:41:10;5071.18;-0.08;;11.52
2026.02.05 23:34:26;Sell;0.01;XAUUSD;4770.58;0.01;2026.02.06 18:00:00;4943.78;-0.08;0.46;-173.2
2026.02.05 18:43:21;Buy;0.01;XAUUSD;4869.68;0.01;2026.02.06 07:00:00;4813.69;-0.08;-0.55;-55.99
